time,value,variable,signal
18.47608,273.01122999999995,Eh recovery,0.912667197624778
18.492749999999997,273.1420600000001,Eh recovery,0.9128934835381974
18.509409999999995,273.27702999999997,Eh recovery,0.9131269300698349
18.52608,273.41469,Eh recovery,0.9133650292736972
18.54275,273.54721,Eh recovery,0.9135942382414133
18.559419999999996,273.6784,Eh recovery,0.9138211468172861
18.57608,273.81201,Eh recovery,0.9140522410685429
18.59275999999999,273.9469,Eh recovery,0.9142855492307466
18.60942,274.08459,Eh recovery,0.9145237003231464
18.62609,274.22595999999993,Eh recovery,0.9147682164095184
18.642759999999996,274.3638000000001,Eh recovery,0.9150066269446075
18.65943,274.5050299999999,Eh recovery,0.9152509008844695
18.67609,274.6412399999999,Eh recovery,0.9154864921423371
18.69276,274.77619999999996,Eh recovery,0.9157199213777958
18.709429999999998,274.9090299999999,Eh recovery,0.9159496665270692
18.726099999999995,275.03572999999994,Eh recovery,0.9161688091184489
18.742759999999997,275.16282000000007,Eh recovery,0.9163886262608205
18.75942999999999,275.27944,Eh recovery,0.9165903343034935
18.7761,275.3930899999999,Eh recovery,0.9167869053809227
18.792769999999997,275.50297,Eh recovery,0.9169769557987665
18.809439999999995,275.6086,Eh recovery,0.9171596553404195
18.8261,275.71631999999994,Eh recovery,0.9173459697835403
18.84277,275.82252,Eh recovery,0.9175296552074119
18.859439999999996,275.92892999999987,Eh recovery,0.9177137038510479
18.87611,276.02871999999996,Eh recovery,0.917886302424006
18.89277999999999,276.12203,Eh recovery,0.9180476930727955
18.90945,276.2129699999999,Eh recovery,0.9182049845270974
18.926109999999998,276.30165,Eh recovery,0.918358367044884
18.942779999999992,276.39292,Eh recovery,0.9185162292731021
18.95945,276.48469,Eh recovery,0.9186749563102837
18.97612,276.58133999999995,Eh recovery,0.9188421238829501
18.992789999999992,276.68004,Eh recovery,0.9190128371723676
19.00946,276.7831099999999,Eh recovery,0.9191911088921267
19.026119999999995,276.88936,Eh recovery,0.9193748807968947
19.042789999999997,277.00342,Eh recovery,0.9195721610176741
19.05946,277.12385,Eh recovery,0.9197804589046501
19.076129999999996,277.24489000000005,Eh recovery,0.9199898118585617
19.092789999999997,277.3730699999999,Eh recovery,0.9202115142844736
19.10946,277.5089899999999,Eh recovery,0.920446603953142
19.12613,277.64847,Eh recovery,0.9206878510616318
19.1428,277.7791,Eh recovery,0.9209137910514656
19.15947,277.9146,Eh recovery,0.9211481542806048
19.17614,278.05201,Eh recovery,0.921385821079985
19.19279999999999,278.19,Eh recovery,0.9216244910577631
19.20947,278.33324999999996,Eh recovery,0.9218722588258383
19.226139999999997,278.47490999999997,Eh recovery,0.9221172765014093
19.242809999999995,278.6154599999999,Eh recovery,0.922360374301081
19.25948,278.75887,Eh recovery,0.9226084188080246
19.27615,278.90158999999994,Eh recovery,0.9228552698785983
19.292809999999996,279.04339,Eh recovery,0.9231005297006792
19.30948,279.1857099999999,Eh recovery,0.9233466889240821
