anaerobe_axis,metric,value,domain
-1.746365798,Root density,4.7027924654708834e-5,Connectivity
-1.746365798,SRO minerals,37.90213587382155,Capacity
-1.746365798,Surface area,6.733,Capacity
-1.746365798,Aggregate stability,71,Connectivity
-1.129350468,Soil C,1.458,Capacity
-1.129350468,Bulk density,1.5112909398653351,Connectivity
-1.129350468,Root density,0.00551538660351792,Connectivity
-1.129350468,SRO minerals,35.03808934812481,Capacity
-1.129350468,Surface area,6.574,Capacity
-1.129350468,Aggregate stability,80,Connectivity
-0.744135273,Soil C,1.51549999999999,Capacity
-0.744135273,Bulk density,1.48548761094088,Connectivity
-0.744135273,Root density,0.01416359644697341,Connectivity
-0.744135273,SRO minerals,50.97754046125252,Capacity
-0.744135273,Surface area,6.935,Capacity
-0.744135273,Aggregate stability,80,Connectivity
0.4767612884069304,Soil C,4.223,Capacity
0.4767612884069304,Bulk density,1.23854980692544,Connectivity
0.4767612884069304,Root density,0.00820559539352138,Connectivity
0.4767612884069304,SRO minerals,82.34303012780592,Capacity
0.4767612884069304,Surface area,6.267,Capacity
0.4767612884069304,Aggregate stability,80,Connectivity
0.5368844318481593,Soil C,1.186,Capacity
0.5368844318481593,Bulk density,1.248748135451165,Connectivity
0.5368844318481593,Root density,0.00519793852003576,Connectivity
0.5368844318481593,SRO minerals,144.6145837196851,Capacity
0.5368844318481593,Surface area,13.582,Capacity
0.5368844318481593,Aggregate stability,53.9295392953933,Connectivity
1.4829895751679627,Soil C,1.4935,Capacity
1.4829895751679627,Bulk density,1.2414069856847951,Connectivity
1.4829895751679627,Root density,0.00113473520550888,Connectivity
1.4829895751679627,SRO minerals,125.26277634749742,Capacity
1.4829895751679627,Surface area,16.126,Capacity
1.4829895751679627,Aggregate stability,62.303664921466,Connectivity
0.36105382066832387,Soil C,1.31599999999999,Capacity
0.36105382066832387,Bulk density,1.2127135123754549,Connectivity
0.36105382066832387,Root density,5.837536763706236e-5,Connectivity
0.36105382066832387,SRO minerals,159.39520980096688,Capacity
0.36105382066832387,Surface area,15.328,Capacity
0.36105382066832387,Aggregate stability,36.4864864864866,Connectivity
2.7784044395287033,Soil C,1.451,Capacity
2.7784044395287033,Bulk density,1.36413654082433,Connectivity
2.7784044395287033,Root density,5.517783118855201e-4,Connectivity
2.7784044395287033,SRO minerals,182.02972282973255,Capacity
2.7784044395287033,Surface area,16.323,Capacity
2.7784044395287033,Aggregate stability,59.5687331536388,Connectivity
2.2028685602873828,Soil C,1.656,Capacity
2.2028685602873828,Bulk density,1.361772664894675,Connectivity
2.2028685602873828,Root density,0,Connectivity
2.2028685602873828,SRO minerals,149.7284183680563,Capacity
2.2028685602873828,Surface area,12.38,Capacity
2.2028685602873828,Aggregate stability,63.6856368563685,Connectivity
1.924013352112179,Soil C,1.3245,Capacity
1.924013352112179,Bulk density,1.4484545569263951,Connectivity
1.924013352112179,Root density,0,Connectivity
1.924013352112179,SRO minerals,154.56082038244844,Capacity
1.924013352112179,Surface area,14.502,Capacity
